16,16,16,15,15,15,15,16,16,17,17,16,16,15,16,16,16,17,18,19,20,21,21,21,19,17,15,13,11,9,6,4,2,0,-2,-3,-4,-4,-5,-5,-5,-5,-5,-6,-6,-6,-6,-6,-5,-4,-2,2,7,12,18,23,27,30,32,33,34,35,35,35,35,33,33,32,32,31,31,31,30,29,28,28,27,27,26,26,26,26,27,27,27,27,28,28,29,30,31,32,33,34,35,36,37,37,38,38,37,37,35,33,31,29,28,26,25,24,22,21,19
18,18,17,17,17,17,17,18,18,18,17,17,16,16,16,17,17,18,20,21,22,23,24,23,22,20,18,15,13,11,8,6,4,2,0,-2,-3,-3,-4,-4,-4,-5,-6,-7,-7,-8,-8,-8,-8,-8,-6,-4,0,5,11,17,22,27,30,33,35,37,38,38,39,38,37,37,37,36,35,35,35,34,34,33,32,32,31,31,31,31,31,31,32,32,32,33,34,34,35,36,37,38,39,40,40,40,40,40,39,37,35,33,30,28,27,26,24,23,22,20,18
21,20,19,19,19,20,20,20,20,19,18,18,17,17,17,18,19,20,21,23,25,26,26,26,25,23,21,18,16,13,11,8,6,4,2,1,0,-1,-2,-2,-3,-3,-4,-5,-6,-7,-8,-9,-9,-9,-9,-7,-5,-1,4,10,16,22,26,30,34,37,39,40,42,42,42,42,41,41,40,40,39,39,38,38,38,37,37,36,36,36,36,37,37,37,37,38,38,39,40,41,42,42,43,43,43,43,42,41,39,37,35,33,30,28,26,25,24,23,21,19,17
23,23,22,22,23,23,23,23,22,21,19,19,18,18,18,19,20,22,24,26,28,29,29,28,27,25,24,21,19,16,14,11,9,7,5,4,3,2,1,0,0,-1,-2,-3,-5,-6,-7,-7,-8,-8,-9,-8,-7,-4,-1,4,9,15,20,25,30,34,37,40,42,43,44,45,45,45,45,44,44,43,43,43,42,42,42,41,41,42,42,42,42,42,42,43,43,44,44,45,46,46,46,46,45,44,42,40,38,36,34,32,30,28,26,24,23,22,20,19,17
27,26,26,26,26,26,26,25,24,22,21,20,19,20,20,21,23,25,27,29,31,32,31,29,28,27,26,24,22,19,17,14,12,10,8,7,6,5,4,3,3,2,1,0,-2,-3,-4,-5,-6,-6,-7,-7,-7,-6,-4,0,4,9,14,20,25,30,33,37,40,42,44,46,47,48,49,49,49,48,48,47,47,47,47,46,46,47,47,47,47,47,47,47,48,48,48,49,49,49,48,47,46,44,42,40,38,36,34,32,29,27,25,23,22,21,20,18,16
31,31,30,30,30,30,28,27,25,24,22,22,21,22,23,24,25,27,29,31,33,33,32,30,29,28,28,27,25,23,20,18,15,13,12,11,10,8,8,7,6,5,5,4,2,1,0,-2,-3,-4,-4,-5,-5,-5,-4,-2,1,5,9,14,19,24,29,33,36,39,42,45,47,49,50,51,52,52,52,52,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,51,50,49,48,46,44,41,39,37,35,33,31,29,26,24,23,22,20,19,17,15
36,35,35,34,33,32,31,29,27,26,25,24,24,24,25,27,28,30,31,32,33,33,32,31,30,30,30,29,28,26,24,21,19,17,16,14,13,12,11,11,10,9,9,8,6,5,4,2,1,0,-1,-1,-2,-2,-2,-1,1,3,6,10,14,19,23,28,32,35,39,42,45,47,50,52,53,54,54,55,55,55,55,55,55,56,56,56,56,56,56,55,55,55,55,54,53,52,50,48,46,43,41,38,36,33,32,30,28,26,24,22,21,19,18,16,15
40,40,39,38,36,35,33,31,29,28,27,27,27,28,28,29,31,31,32,32,32,32,32,31,30,31,31,31,31,29,27,25,23,21,19,18,17,16,15,15,14,13,13,12,11,9,8,7,5,4,3,2,2,1,1,1,2,4,5,8,11,14,18,22,26,30,34,38,41,45,48,50,53,54,55,57,58,58,59,59,59,59,59,60,59,59,59,59,58,57,57,55,54,53,51,48,46,43,40,37,35,33,31,29,27,25,23,21,20,18,17,16,14
45,44,42,41,39,37,35,34,33,32,31,31,31,31,31,32,32,32,31,30,30,30,30,30,31,32,33,33,33,33,31,29,27,25,24,22,21,20,19,19,18,17,17,16,15,14,12,11,10,8,7,6,6,5,5,5,5,6,7,9,10,13,15,18,21,24,28,32,36,40,44,47,50,52,54,56,58,60,61,62,62,63,63,63,63,62,62,61,60,59,58,57,55,53,51,48,45,42,39,36,34,32,30,29,27,25,23,21,19,18,16,15,13
48,47,45,43,42,40,38,37,36,36,35,34,34,34,33,33,32,31,29,28,27,27,28,29,30,32,34,35,36,36,35,33,32,30,28,27,25,24,24,23,22,22,21,20,19,18,17,15,14,13,12,11,10,9,9,8,8,9,9,11,12,13,14,16,18,21,23,27,30,34,38,42,46,49,51,54,56,58,61,62,63,64,65,65,65,64,64,63,61,60,58,57,55,52,50,47,44,41,38,36,33,32,30,28,27,25,23,21,19,17,16,14,13
51,50,48,46,45,43,42,41,40,40,39,38,37,36,35,33,31,29,27,25,24,24,25,27,30,32,35,37,38,39,38,37,36,34,33,31,30,29,28,27,27,26,25,24,24,22,21,20,19,17,16,15,14,14,13,12,12,12,13,14,14,15,15,16,18,19,21,24,26,29,32,36,39,42,45,48,51,54,57,59,61,62,63,64,64,64,63,62,61,59,57,55,53,51,48,46,43,40,38,35,33,32,30,28,27,25,23,21,19,17,15,14,13
55,53,51,50,48,47,46,45,44,43,42,41,39,37,35,33,31,28,26,24,22,22,23,25,29,32,35,38,40,41,42,41,40,39,37,36,35,34,32,32,31,30,30,29,28,27,26,25,23,22,21,20,19,18,17,17,16,16,17,17,17,17,18,18,19,20,21,22,24,25,27,30,33,35,38,41,44,47,50,53,55,57,59,60,60,60,60,59,58,56,55,53,50,48,46,44,42,39,37,35,33,32,30,29,27,26,24,21,19,17,16,14,13
