,map_row,map_col,Day,actual_label,predicted_label,left,right,up,down
193,4,3,134,2,2,-1,-1,-1,-1
194,0,0,141,2,2,-1,0,-1,0
195,2,7,142,2,0,2,-1,-1,2
196,1,4,143,2,0,2,-1,2,2
197,1,2,145,2,0,-1,2,-1,-1
198,3,1,146,2,0,2,2,-1,2
199,2,5,147,2,2,-1,-1,0,-1
200,3,7,148,2,2,-1,0,0,-1
201,2,4,149,2,2,-1,-1,0,-1
202,2,4,149,2,2,-1,-1,0,-1
203,2,4,149,2,2,-1,-1,0,-1
204,2,4,150,2,2,-1,-1,0,-1
205,2,4,150,2,2,-1,-1,0,-1
206,2,4,150,2,2,-1,-1,0,-1
207,3,0,151,2,2,-1,0,0,-1
208,3,0,151,2,2,-1,0,0,-1
209,3,0,152,2,2,-1,0,0,-1
210,3,2,153,2,2,0,-1,0,-1
211,3,2,153,2,2,0,-1,0,-1
212,2,2,154,2,0,-1,2,-1,2
213,2,2,154,2,0,-1,2,-1,2
214,3,0,155,2,2,-1,0,0,-1
215,3,0,155,2,2,-1,0,0,-1
216,3,0,155,2,2,-1,0,0,-1
217,2,3,156,2,2,0,-1,-1,-1
218,2,4,168,2,2,-1,-1,0,-1
219,5,1,174,2,2,-1,-1,-1,-1
220,4,5,175,2,2,-1,-1,-1,3
221,5,3,175,2,2,-1,-1,-1,-1
222,5,1,179,2,2,-1,-1,-1,-1
223,5,1,179,2,2,-1,-1,-1,-1
224,5,1,180,2,2,-1,-1,-1,-1
225,9,3,181,2,2,-1,-1,-1,-1
226,6,2,185,2,2,-1,-1,-1,-1
227,3,2,190,2,2,0,-1,0,-1
228,2,4,191,2,2,-1,-1,0,-1
229,2,4,191,2,2,-1,-1,0,-1
230,3,0,192,2,2,-1,0,0,-1
231,2,2,194,2,0,-1,2,-1,2
232,2,3,195,2,2,0,-1,-1,-1
233,2,3,195,2,2,0,-1,-1,-1
234,3,0,196,2,2,-1,0,0,-1
235,3,0,196,2,2,-1,0,0,-1
236,9,0,200,2,2,-1,-1,-1,-1
237,3,0,201,2,2,-1,0,0,-1
238,3,2,202,2,2,0,-1,0,-1
239,3,2,202,2,2,0,-1,0,-1
240,3,3,203,2,2,-1,-1,-1,-1
241,3,3,204,2,2,-1,-1,-1,-1
242,1,0,206,2,0,-1,-1,2,-1
243,9,1,214,2,2,-1,-1,-1,-1
244,5,0,214,2,2,-1,-1,-1,3
245,2,0,221,2,0,-1,-1,-1,2
246,4,3,222,2,2,-1,-1,-1,-1
247,3,4,223,2,2,-1,-1,-1,-1
248,4,6,224,2,2,-1,-1,-1,3
249,8,2,225,2,2,-1,-1,-1,-1
250,9,0,229,2,2,-1,-1,-1,-1
251,9,2,231,2,2,-1,-1,-1,-1
252,9,2,232,2,2,-1,-1,-1,-1
253,4,6,235,2,2,-1,-1,-1,3
254,3,0,249,2,2,-1,0,0,-1
255,5,5,251,2,3,2,-1,2,-1
256,0,1,257,2,0,2,-1,-1,-1
257,0,1,257,2,0,2,-1,-1,-1
258,9,2,259,2,2,-1,-1,-1,-1
259,3,5,25,2,2,-1,-1,-1,-1
260,8,2,260,2,2,-1,-1,-1,-1
261,8,2,260,2,2,-1,-1,-1,-1
262,9,0,261,2,2,-1,-1,-1,-1
263,9,0,262,2,2,-1,-1,-1,-1
264,9,0,263,2,2,-1,-1,-1,-1
265,7,2,265,2,2,-1,-1,-1,-1
266,6,2,266,2,2,-1,-1,-1,-1
267,6,2,266,2,2,-1,-1,-1,-1
268,6,3,267,2,2,-1,-1,-1,-1
269,9,1,267,2,2,-1,-1,-1,-1
270,6,4,268,2,2,-1,3,-1,3
271,4,4,270,2,2,-1,-1,-1,-1
272,4,6,271,2,2,-1,-1,-1,3
273,5,3,276,2,2,-1,-1,-1,-1
274,8,1,277,2,2,-1,-1,-1,-1
275,8,1,277,2,2,-1,-1,-1,-1
276,8,1,278,2,2,-1,-1,-1,-1
277,9,1,278,2,2,-1,-1,-1,-1
278,9,0,279,2,2,-1,-1,-1,-1
279,3,4,279,2,2,-1,-1,-1,-1
280,3,4,279,2,2,-1,-1,-1,-1
281,4,5,280,2,2,-1,-1,-1,3
282,4,0,280,2,2,-1,-1,-1,-1
283,3,5,286,2,2,-1,-1,-1,-1
284,3,5,287,2,2,-1,-1,-1,-1
285,0,1,287,2,0,2,-1,-1,-1
286,4,6,292,2,2,-1,-1,-1,3
287,7,2,293,2,2,-1,-1,-1,-1
288,7,2,293,2,2,-1,-1,-1,-1
289,7,2,294,2,2,-1,-1,-1,-1
290,7,2,294,2,2,-1,-1,-1,-1
291,5,0,295,2,2,-1,-1,-1,3
292,5,0,295,2,2,-1,-1,-1,3
293,5,0,296,2,2,-1,-1,-1,3
294,4,4,302,2,2,-1,-1,-1,-1
295,2,8,306,2,0,-1,-1,-1,-1
296,0,0,311,2,2,-1,0,-1,0
297,4,0,317,2,2,-1,-1,-1,-1
298,3,5,318,2,2,-1,-1,-1,-1
299,4,4,328,2,2,-1,-1,-1,-1
300,9,3,329,2,2,-1,-1,-1,-1
301,3,5,337,2,2,-1,-1,-1,-1
302,4,2,338,2,2,-1,-1,-1,-1
303,1,8,340,2,0,-1,-1,-1,-1
304,4,6,346,2,2,-1,-1,-1,3
305,0,9,374,2,0,-1,-1,-1,-1
306,1,9,375,2,0,-1,-1,-1,-1
307,3,7,37,2,2,-1,0,0,-1
308,2,8,383,2,0,-1,-1,-1,-1
309,0,9,395,2,0,-1,-1,-1,-1
310,3,4,429,2,2,-1,-1,-1,-1
311,4,1,430,2,2,-1,-1,0,-1
312,4,1,430,2,2,-1,-1,0,-1
313,4,1,431,2,2,-1,-1,0,-1
314,3,6,439,2,2,-1,-1,-1,-1
315,2,5,440,2,2,-1,-1,0,-1
316,2,6,461,2,2,-1,0,0,-1
317,2,6,461,2,2,-1,0,0,-1
318,2,6,462,2,2,-1,0,0,-1
319,4,4,463,2,2,-1,-1,-1,-1
320,0,5,463,2,0,2,-1,-1,-1
321,1,5,464,2,0,-1,-1,-1,2
322,2,6,465,2,2,-1,0,0,-1
323,9,3,467,2,2,-1,-1,-1,-1
324,2,7,467,2,0,2,-1,-1,2
325,9,4,468,2,2,-1,3,-1,-1
326,8,2,472,2,2,-1,-1,-1,-1
327,0,3,472,2,2,0,-1,-1,-1
328,0,2,473,2,0,-1,2,-1,-1
329,0,2,474,2,0,-1,2,-1,-1
330,0,3,475,2,2,0,-1,-1,-1
331,0,3,475,2,2,0,-1,-1,-1
332,1,2,476,2,0,-1,2,-1,-1
333,1,2,476,2,0,-1,2,-1,-1
334,1,3,477,2,2,0,0,-1,-1
335,1,3,477,2,2,0,0,-1,-1
336,1,3,478,2,2,0,0,-1,-1
337,1,3,478,2,2,0,0,-1,-1
338,9,5,480,2,3,2,1,-1,-1
339,8,1,482,2,2,-1,-1,-1,-1
340,0,0,482,2,2,-1,0,-1,0
341,0,2,483,2,0,-1,2,-1,-1
342,9,1,489,2,2,-1,-1,-1,-1
343,4,3,490,2,2,-1,-1,-1,-1
344,2,8,493,2,0,-1,-1,-1,-1
345,0,3,497,2,2,0,-1,-1,-1
346,0,3,498,2,2,0,-1,-1,-1
347,9,2,503,2,2,-1,-1,-1,-1
348,9,2,504,2,2,-1,-1,-1,-1
349,9,2,504,2,2,-1,-1,-1,-1
350,9,2,504,2,2,-1,-1,-1,-1
351,1,7,505,2,0,-1,-1,-1,-1
352,0,2,513,2,0,-1,2,-1,-1
353,8,2,513,2,2,-1,-1,-1,-1
354,9,1,514,2,2,-1,-1,-1,-1
355,9,4,515,2,2,-1,3,-1,-1
356,2,2,517,2,0,-1,2,-1,2
357,1,3,518,2,2,0,0,-1,-1
358,9,3,518,2,2,-1,-1,-1,-1
359,0,1,520,2,0,2,-1,-1,-1
360,1,3,520,2,2,0,0,-1,-1
361,1,1,523,2,0,-1,-1,-1,-1
