,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
68,0.248615,0.232,0.217846,0.205538,0.195077,0.186462,0.179077,0.174769,0.172308,0.171692,0.173538,0.177846,0.185846,0.195692,0.209231,31,29,CL
69,0.257231,0.238154,0.222769,0.209231,0.197538,0.187692,0.179692,0.174769,0.171077,0.170462,0.172308,0.176615,0.184615,0.195077,0.208615,31,29,CL
70,0.268923,0.248,0.229538,0.214769,0.201846,0.191385,0.183385,0.177231,0.173538,0.172308,0.173538,0.178462,0.186462,0.197538,0.212308,31,29,CL
71,0.283692,0.260308,0.240615,0.224,0.209846,0.198154,0.189538,0.182769,0.179077,0.177231,0.179077,0.183385,0.192,0.203692,0.219077,31,29,CL
72,0.302769,0.276923,0.254769,0.236308,0.220923,0.208615,0.198769,0.191385,0.187692,0.185846,0.187692,0.192615,0.201231,0.214154,0.230154,31,29,CL
73,0.324923,0.297231,0.273231,0.252308,0.235692,0.222154,0.211692,0.204308,0.199385,0.198154,0.2,0.205538,0.214769,0.227692,0.244923,31,29,CL
74,0.349538,0.321846,0.296,0.273231,0.255385,0.24,0.228308,0.220308,0.216,0.214154,0.216615,0.222769,0.232615,0.246154,0.264615,31,29,CL
75,0.293538,0.284923,0.278154,0.272615,0.268923,0.265231,0.262769,0.262154,0.261538,0.262769,0.265231,0.269538,0.274462,0.28,0.287385,31,28,CL
76,0.292923,0.283077,0.274462,0.267077,0.261538,0.256615,0.253538,0.251692,0.251077,0.251692,0.253538,0.256615,0.260923,0.267692,0.275692,31,28,CL
77,0.291692,0.28,0.270154,0.261538,0.254154,0.248615,0.243692,0.240615,0.238769,0.238769,0.240615,0.243692,0.249231,0.255385,0.263385,31,28,CL
78,0.290462,0.276923,0.265231,0.255385,0.246769,0.239385,0.233231,0.229538,0.227077,0.227077,0.228308,0.232,0.236923,0.243692,0.252308,31,28,CL
79,0.289231,0.273846,0.260923,0.249231,0.239385,0.230769,0.224,0.219077,0.216615,0.216,0.217231,0.220923,0.225846,0.233231,0.241846,31,28,CL
